wavelength(nm) ph/sec/arcsec^2/um/m^2
517.525137 146.198
517.551014 146.252
517.576892 146.306
517.602772 146.359
517.628653 146.413
517.654535 146.42
517.680418 146.392
517.706303 146.367
517.732189 146.342
517.758076 146.316
517.783965 146.291
517.809854 146.266
517.835746 146.241
517.861638 146.215
517.887532 146.186
517.913427 146.158
517.939323 146.129
517.965221 146.1
517.99112 146.072
518.01702 146.043
518.042921 146.017
518.068824 145.992
518.094728 145.966
518.120634 145.941
518.14654 145.916
518.172448 145.891
518.198357 145.865
518.224268 145.837
518.25018 145.808
518.276093 145.779
518.302007 145.751
518.327923 145.722
518.35384 145.694
518.379759 145.666
518.405678 145.641
518.431599 145.615
518.457521 145.59
518.483445 145.565
518.50937 145.539
518.535296 145.514
518.561223 145.489
518.587152 145.463
518.613082 145.438
518.639013 145.412
518.664946 145.538
518.69088 145.669
518.716815 145.8
518.742751 145.929
518.768689 146.057
518.794628 146.185
518.820569 146.313
518.84651 146.442
518.872453 343.762
518.898398 147.489
518.924343 361.289
518.95029 146.963
518.976238 147.094
519.002188 147.226
519.028138 147.358
519.054091 147.489
519.080044 268.564
519.105999 246.679
519.131954 147.876
519.157912 148.004
519.18387 148.132
519.20983 148.261
519.235791 148.389
519.261754 148.521
519.287717 148.653
519.313682 148.785
519.339649 148.917
519.365616 149.049
519.391585 149.181
519.417556 149.312
519.443527 149.44
519.4695 149.569
519.495474 149.697
519.521449 149.826
519.547426 149.955
519.573404 150.083
519.599384 150.214
519.625364 150.347
519.651346 150.473
519.677329 150.496
519.703314 150.519
519.7293 150.542
519.755287 150.564
519.781275 150.587
519.807265 150.61
519.833256 150.633
519.859248 150.656
519.885242 150.679
519.911237 150.702
519.937233 3133.14
519.96323 150.743
519.989229 150.762
520.015229 150.782
520.041231 150.803
520.067234 150.825
520.093238 150.846
520.119243 150.867
520.145249 150.888
520.171257 1842.72
520.197267 150.93
520.223277 150.951
520.249289 150.972
520.275302 150.993
520.301316 151.017
520.327332 151.041
520.353349 151.066
520.379367 151.09
520.405387 151.115
520.431408 663.913
520.45743 153.545
520.483454 151.183
520.509479 151.204
520.535505 151.225
520.561532 151.246
520.587561 151.267
520.613591 151.288
520.639622 151.309
520.665655 151.358
520.691689 151.426
520.717724 151.493
520.743761 151.561
520.769798 151.628
520.795838 151.695
520.821878 151.763
520.84792 151.83
520.873963 151.898
520.900007 151.965
520.926053 152.033
520.9521 152.1
520.978148 152.169
521.004198 152.24
521.030248 332.895
521.056301 152.382
521.082354 152.453
521.108409 152.524
521.134465 152.595
521.160522 152.663
521.186581 152.731
521.212641 152.798
521.238702 152.866
521.264765 152.933
521.290829 153.001
521.316894 153.069
521.34296 153.136
521.369028 153.204
521.395097 153.271
521.421168 153.339
521.447239 153.407
521.473312 153.474
521.499387 153.542
521.525462 153.609
521.551539 153.677
521.577617 153.745
521.603697 153.812
521.629778 153.88
521.65586 153.925
521.681943 153.89
521.708028 153.855
521.734114 153.819
521.760202 153.784
521.78629 153.749
521.81238 153.714
521.838471 153.679
521.864564 153.644
521.890658 301.045
521.916753 153.574
521.94285 153.539
521.968947 153.504
521.995047 153.468
522.021147 153.435
522.047249 153.403
522.073352 153.371
522.099456 153.34
522.125562 153.308
522.151669 153.276
522.177777 153.244
522.203886 153.208
522.229997 153.169
522.256109 153.131
522.282223 153.092
522.308338 153.053
