wavelength(nm) transmission
510.636557 0.819126
510.662089 0.819273
510.687623 0.819299
510.713158 0.819324
510.738695 0.81935
510.764232 0.819375
510.789771 0.8194
510.815311 0.819304
510.840852 0.819431
510.866395 0.819477
510.891939 0.819129
510.917484 0.819527
510.943031 0.819553
510.968579 0.819578
510.994128 0.819603
511.019678 0.819629
511.04523 0.819654
511.070783 0.819679
511.096337 0.819705
511.121892 0.819501
511.147449 0.819335
511.173007 0.819661
511.198566 0.819796
511.224127 0.819712
511.249689 0.819021
511.275252 0.819689
511.300816 0.819901
511.326382 0.8198
511.351949 0.819938
511.377517 0.819953
511.403087 0.819945
511.428657 0.819966
511.454229 0.819973
511.479803 0.819979
511.505377 0.819986
511.530953 0.820011
511.556531 0.820036
511.582109 0.820061
511.607689 0.819905
511.63327 0.820112
511.658852 0.820137
511.684436 0.820162
511.710021 0.820187
511.735607 0.820213
511.761194 0.820235
511.786783 0.820189
511.812373 0.82016
511.837964 0.820237
511.863557 0.820339
511.88915 0.820364
511.914745 0.820389
511.940342 0.820414
511.96594 0.820439
511.991538 0.820465
512.017139 0.820356
512.04274 0.820484
512.068343 0.820502
512.093947 0.82051
512.119552 0.820469
512.145159 0.820523
512.170767 0.820336
512.196376 0.820542
512.221986 0.820567
512.247598 0.820592
512.273211 0.820617
512.298826 0.820642
512.324441 0.820667
512.350058 0.820692
512.375676 0.820658
512.401296 0.820659
512.426916 0.820618
512.452538 0.820725
512.478162 0.820732
512.503786 0.820738
512.529412 0.820744
512.555039 0.820769
512.580667 0.820794
512.606297 0.820819
512.631928 0.820844
512.65756 0.820869
512.683194 0.820894
512.708829 0.820919
512.734465 0.820944
512.760102 0.82094
512.785741 0.820995
512.811381 0.82102
512.837022 0.820999
512.862664 0.82107
512.888308 0.821083
512.913953 0.821089
512.939599 0.821096
512.965247 0.821102
512.990896 0.821108
513.016546 0.821115
513.042198 0.821121
513.06785 0.821145
513.093504 0.82117
513.11916 0.821195
513.144816 0.82122
513.170474 0.821245
513.196133 0.82127
513.221794 0.821295
513.247456 0.82132
513.273119 0.821345
513.298783 0.82137
513.324448 0.821395
513.350115 0.82142
513.375783 0.821438
513.401453 0.821413
513.427124 0.821465
513.452796 0.821471
513.478469 0.821477
513.504143 0.821483
513.529819 0.821489
513.555496 0.821496
513.581175 0.82152
513.606855 0.821545
513.632536 0.82157
513.658218 0.821595
513.683901 0.82162
513.709586 0.821645
513.735272 0.821664
513.76096 0.82167
513.786648 0.821676
513.812338 0.821683
513.83803 0.821689
513.863722 0.821695
513.889416 0.821701
513.915111 0.821719
513.940808 0.821744
513.966505 0.821769
513.992204 0.821794
514.017904 0.821819
514.043606 0.821844
514.069309 0.821868
514.095013 0.821875
514.120718 0.821881
514.146425 0.821887
514.172133 0.821893
514.197842 0.821899
514.223553 0.821905
514.249265 0.821918
